DAY,MONTH,YEAR,DAYNAME,DATE,HOUR,GENERAL_SUPPLY_KWH
28,1,2013,Monday,1/28/2013,17,0.426141351
3,6,2013,Monday,6/3/2013,23,0.380355845
6,11,2012,Tuesday,11/6/2012,21,0.343509540
30,11,2011,Wednesday,11/30/2011,21,0.410515625
6,12,2013,Friday,12/6/2013,15,0.229750834
11,10,2011,Tuesday,10/11/2011,19,0.466596774
21,1,2013,Monday,1/21/2013,17,0.388638576
26,1,2014,Sunday,1/26/2014,3,0.158514622
7,8,2012,Tuesday,8/7/2012,17,0.446243412
17,1,2014,Friday,1/17/2014,6,0.228256380
16,8,2012,Thursday,8/16/2012,20,0.579879748
20,2,2012,Monday,2/20/2012,20,0.467901535
14,10,2011,Friday,10/14/2011,22,0.293825758
19,6,2012,Tuesday,6/19/2012,18,0.641063509
1,9,2013,Sunday,9/1/2013,18,0.424829288
2,4,2012,Monday,4/2/2012,18,0.477203467
21,12,2013,Saturday,12/21/2013,12,0.402027827
10,2,2013,Sunday,2/10/2013,20,0.411279857
24,10,2012,Wednesday,10/24/2012,16,0.265354740
4,3,2013,Monday,3/4/2013,22,0.271217839
16,1,2013,Wednesday,1/16/2013,20,0.446691897
3,12,2013,Tuesday,12/3/2013,10,0.221271232
17,6,2013,Monday,6/17/2013,22,0.522756212
6,1,2012,Friday,1/6/2012,18,0.301497573
22,12,2013,Sunday,12/22/2013,4,0.190548503
7,11,2013,Thursday,11/7/2013,8,0.231823919
25,12,2012,Tuesday,12/25/2012,22,0.249082228
13,7,2013,Saturday,7/13/2013,20,0.612313858
14,5,2012,Monday,5/14/2012,16,0.345411204
2,10,2012,Tuesday,10/2/2012,18,0.393243990
16,1,2014,Thursday,1/16/2014,14,0.495434154
24,5,2012,Thursday,5/24/2012,16,0.456188078
27,9,2013,Friday,9/27/2013,16,0.226311037
11,9,2012,Tuesday,9/11/2012,22,0.337710621
29,11,2011,Tuesday,11/29/2011,16,0.359417969
27,4,2013,Saturday,4/27/2013,16,0.260605839
4,12,2013,Wednesday,12/4/2013,2,0.156332920
8,11,2013,Friday,11/8/2013,0,0.188402382
9,1,2012,Monday,1/9/2012,22,0.274087379
19,5,2013,Sunday,5/19/2013,18,0.602450723
21,11,2012,Wednesday,11/21/2012,14,0.213172399
16,11,2011,Wednesday,11/16/2011,6,0.255382813
26,10,2011,Wednesday,10/26/2011,8,0.234537815
16,5,2013,Thursday,5/16/2013,4,0.165940131
8,12,2011,Thursday,12/8/2011,4,0.159843575
1,8,2013,Thursday,8/1/2013,2,0.213123240
17,7,2012,Tuesday,7/17/2012,12,0.260935682
10,10,2013,Thursday,10/10/2013,22,0.321702739
7,2,2012,Tuesday,2/7/2012,0,0.187983607
8,4,2013,Monday,4/8/2013,6,0.194679298
16,4,2012,Monday,4/16/2012,14,0.255902484
14,10,2012,Sunday,10/14/2012,12,0.283464481
23,9,2013,Monday,9/23/2013,14,0.224797393
12,8,2013,Monday,8/12/2013,12,0.242638893
6,2,2012,Monday,2/6/2012,8,0.235003175
31,8,2012,Friday,8/31/2012,0,0.243720796
3,1,2013,Thursday,1/3/2013,2,0.157994043
15,5,2013,Wednesday,5/15/2013,12,0.238260403
5,6,2012,Tuesday,6/5/2012,14,0.312448938
21,11,2013,Thursday,11/21/2013,20,0.371598147
7,4,2013,Sunday,4/7/2013,14,0.274236527
25,10,2011,Tuesday,10/25/2011,0,0.217126050
11,8,2013,Sunday,8/11/2013,4,0.196131409
13,10,2012,Saturday,10/13/2012,4,0.178755279
26,11,2012,Monday,11/26/2012,0,0.214637647
21,6,2013,Friday,6/21/2013,8,0.479519565
21,3,2012,Wednesday,3/21/2012,12,0.262517817
2,1,2014,Thursday,1/2/2014,18,0.534034579
24,3,2013,Sunday,3/24/2013,8,0.286973742
9,12,2011,Friday,12/9/2011,12,0.224670270
22,3,2012,Thursday,3/22/2012,4,0.186379080
